id,id1,bank,min_duration,max_duration,interest,amount_upto
40,40,POST,1825,1825,7.8,100
39,39,POST,1095,1095,7.3,100
24,24,CUB,365,730,7.1,100
38,38,POST,730,730,7.1,100
4,4,SBI,211,364,7,1000
23,23,CUB,181,364,7,100
37,37,POST,365,365,7,100
6,6,SBI,465,729,6.95,1000
34,34,HDFC,366,369,6.95,100
33,33,HDFC,365,365,6.9,100
7,7,SBI,730,1094,6.85,1000
25,25,CUB,365,1825,6.85,100
3,3,SBI,180,210,6.75,1000
22,22,CUB,91,180,6.75,100
26,26,CUB,1825,3654,6.7,100
2,2,SBI,46,179,6.5,1000
8,8,SBI,1095,3652,6.5,1000
17,17,INDIAN,365,365,6.5,1000
16,16,INDIAN,270,364,6.25,1000
18,18,INDIAN,365,729,6.25,1000
19,19,INDIAN,730,1094,6.25,1000
21,21,CUB,7,90,6.25,100
32,32,HDFC,296,364,6.25,100
35,35,HDFC,370,730,6.25,100
5,5,SBI,365,455,6.09,1000
20,20,INDIAN,1095,3654,6,1000
31,31,HDFC,180,295,6,100
36,36,HDFC,731,3654,6,100
15,15,INDIAN,181,269,5.75,1000
30,30,HDFC,46,180,5.75,100
29,29,HDFC,30,45,5.5,100
13,13,INDIAN,91,120,5.25,1000
14,14,INDIAN,121,180,5.25,1000
1,1,SBI,7,45,5.05,1000
11,11,INDIAN,30,45,4.5,1000
12,12,INDIAN,46,90,4.5,1000
28,28,HDFC,15,29,4.25,100
9,9,INDIAN,7,14,4,1000
10,10,INDIAN,15,29,4,1000
27,27,HDFC,7,14,4,100
