Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
06-09-2013 06:09,1378427992,a,33.56,23.24,1655.170044,20.88,2.36,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.8,15780000000,15860000000,15.09,2.16,2.32,11.93,2.32,3600000000,11.93,938000000,2.69,30.9,4.1,2330000000,7.04,2700000000,2.96,14.46,1260000000,1.81,0.23,83.5,2780000,1.2,0.8,3300000,outperform
23-04-2013 20:02,1366727577,aa,7.98,70.05,1578.780029,18.79,51.26,53.21,36.21,0.37,0.65,1.05,3.06,1.11,1.36,22.03,8670000000,16070000000,10.4,2.6,0.68,7.39,0.68,3210000000,7.39,244000000,0.22,58.5,2.9,1560000000,1.45,8920000000,1.2,12.5,1660000000,1.86,0.08,58.1,72710000,4.9,6.8,69110000,outperform
11-08-2013 02:30,1376168432,aapl,64.13,49.04,1697.47998,14.11,34.93,13.75,11.33,2.47,3.4,22.28,29.46,17.2,32.11,181.4,4.1287E+11,3.945E+11,10.73,0.64,2.33,7.06,2.33,68660000000,7.06,37750000000,40.11,21.8,0.9,42680000000,46.97,16960000000,1.88,135.79,52890000000,0.87,0.04,62,26040000,2.1,2.8,27730000,outperform
19-06-2013 09:57,1371616058,abbv,40.94,30.36,1628.930054,20.29,10.07,512.61,12.88,3.72,23.32,28.92,36.65,18.41,71.43,11.73,68960000000,76110000000,13.48,2.05,4.11,9.69,4.11,13870000000,9.69,5360000000,3.38,9.6,3.7,7480000000,4.72,15160000000,2.21,1.87,5940000000,1.81,0.02,6.3,11400000,2.1,0.7,11000000,outperform
25-04-2013 01:02,1366831920,abc,52.3,19.33,1585.160034,17.55,1.78,59.73,19.22,0.16,5.54,0.9,1.58,5.07,27.11,327.31,12850000000,13850000000,15.17,1.52,0.17,9.69,0.17,2670000000,9.69,710450000,2.9,4,5.7,417400000,1.81,1400000000,0.96,10.16,632040000,0.66,0.18,93.6,8500000,3,3.7,10490000,outperform
18-08-2013 07:12,1376790165,abt,34.12,23.12,1661.319946,18.69,4.43,35.38,13.95,1.36,2.44,10.02,22.4,10.72,26.48,25.52,54350000000,52890000000,15.68,1.47,1.32,4.58,1.32,24750000000,4.58,6190000000,2.51,72.4,2.5,9390000000,6.04,7930000000,1.82,14.37,6200000000,0.5,0.16,67,10200000,1.4,0.7,8520000,outperform
16-05-2013 15:08,1368697137,ace,88.34,13.89,1650.469971,13.78,0.11,27.94,11.84,1.75,1.13,14.88,17.34,2.13,10.07,53.02,31490000000,35220000000,11.37,1.39,1.95,11.06,1.95,5320000000,11.06,2690000000,7.83,2.1,2.6,3750000000,11.02,7810000000,0.41,82.17,4340000000,0.79,0.34,93.1,2270000,1.6,0.7,2600000,outperform
10-05-2013 03:17,1368136049,acn,79.41,-2.82,1633.699951,14.97,-17.79,0,18.67,1.84,9.53,10.85,14.12,15.51,61.32,43.98,52060000000,46040000000,17.15,1.63,1.63,10.64,1.63,8990000000,10.64,3070000000,4.29,71.1,3.8,5640000000,8.67,29,1.63,8.39,3450000000,1.27,0.3,82.1,6850000,2.4,1.1,6610000,underperform
11-05-2013 12:07,1368254266,adi,44.13,14.62,1632.689941,14.88,-0.26,17.57,22.4,5.3,3.28,24.04,30.44,9.26,15.75,8.91,14320000000,10960000000,17.52,6.51,4.1,11.87,4.1,1740000000,11.87,643080000,2.09,5.9,4,3990000000,13.03,759670000,9.47,14.13,757690000,1.06,1,87.8,3880000,1.6,1.3,4670000,underperform
07-06-2013 17:17,1370605654,adm,31.93,37.49,1643.380005,17.31,20.18,46.71,17.53,0.24,1.14,1.37,1.84,2.46,6.7,138.08,21760000000,28470000000,10.95,1.61,0.31,11.15,0.31,3670000000,11.15,1240000000,1.89,32.6,2.7,1630000000,2.48,8860000000,1.73,28.76,3470000000,0.76,2.18,74.6,8820000,2,1.4,8570000,outperform
