id,id1,company,durations,returns,rank
7,7,SBI,1825,20.4,8
33,33,BIRLA,1825,20.4,7
19,19,IDBI,1825,18.4,16
30,30,BIRLA,365,17.7,37
31,31,BIRLA,730,17.2,24
5,5,SBI,730,16,57
26,26,FIBF,1825,16,38
15,15,IDBI,180,15.6,25
6,6,SBI,1095,14.8,16
16,16,IDBI,365,14.6,69
4,4,SBI,365,14.3,91
24,24,FIBF,730,13.5,78
29,29,BIRLA,180,13.4,59
32,32,BIRLA,1095,13.4,31
17,17,IDBI,730,13.2,83
3,3,SBI,180,13,62
18,18,IDBI,1095,12.6,43
23,23,FIBF,365,12.2,102
25,25,FIBF,1095,11.5,65
22,22,FIBF,180,9.2,118
28,28,BIRLA,90,6.9,19
2,2,SBI,90,4.6,65
14,14,IDBI,90,4.4,62
21,21,FIBF,90,3.1,110
11,11,JP MORGAN ,365,2.7,224
10,10,JP MORGAN,180,0.9,226
27,27,BIRLA,30,0.3,22
13,13,IDBI,30,0,35
12,12,JP MORGAN,730,-0.1,233
1,1,SBI,30,-0.3,46
20,20,FIBF,30,-1.7,115
9,9,JP MORGAN,90,-7.7,239
8,8,JP MORGAN,30,-8.8,241
